CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292194,2015,2017-04-04,3801,2015-01-10,1702,845,NORTH,6,5,7,3801,0,0,0,,0,4K4A,"MCALLISTER ST","VAN NESS AV",0.00,,Y,A,-,Y,SF,4,101,-,T,5.198,I,5,N,Y,1,1,2,3,A,-,12,21453,A,N,D,C,B,A,H,-,B,A,0,Y,,Y,,Y,Y,C,02,0,0,2,0,1,0,0,1,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42016390000001,37.780100640000001
6292207,2015,2015-06-02,3801,2015-03-11,1047,251,RICHM,3,5,7,3801,0,0,0,,0,3G61,"GEARY BL","26TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.48580997000001,37.780099970000002
6292225,2015,2015-06-10,9335,2015-04-19,2110,20610,,7,2,7,3801,0,1,2,,2,013,"RT 101","RT 280",226.00,S,N,B,-,Y,SF,4,101,-,-,1.700,H,-,N,N,1,1,0,3,A,-,11,21954,A,F,G,B,E,A,H,-,C,D,1,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.734729999999999,-122.40637,"SAN FRANCISCO","SAN FRANCISCO",-122.40457918,37.731761579999997
6292445,2015,2015-08-03,3801,2015-07-01,2110,256,SOUTH,3,5,7,3801,0,0,0,,0,4B7H,"3RD ST","MARKET ST",21.00,S,N,A,-,N,,,,,,,,,,Y,1,1,2,3,A,-,01,23152,A,N,G,B,F,A,H,-,C,A,0,Y,,Y,,Y,,C,02,1,1,0,1,1,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.4034465,37.787603310000001
6292449,2015,2015-08-03,3801,2015-07-17,2125,000395,MISSI,5,5,7,3801,0,0,0,,0,4B7D,"SOUTH VAN NESS","16TH ST",124.00,S,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21955,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41745854,37.764840270000001
6292450,2015,2015-08-03,3801,2015-07-20,1319,1714,COG,1,5,7,3801,0,0,0,,0,4B2A,"33RD AV","CABRILLO ST",15.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,Y,-,,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.49287396,37.774081090000003
6292967,2017,2017-10-25,3801,2017-09-15,0815,1043,SOUTH,5,5,7,3801,0,0,0,,0,4B1C,"BRANNAN ST","DORE ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21950,B,N,G,B,E,A,H,-,A,A,0,Y,,,Y,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.769620000000003,-122.40743000000001,"SAN FRANCISCO","SAN FRANCISCO",-122.4077399,37.769469919999999
6293023,2016,2017-12-13,3801,2016-11-30,1819,1936,INGLE,3,5,7,3801,0,0,0,,0,4B8A,"OCEAN AV","DELANO AV",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,07,0,0,0,1,0,0,0,0,0,"- ","- ",37.723300000000002,-122.44325000000001,"SAN FRANCISCO","SAN FRANCISCO",-122.44324994999999,37.723089960000003
6551754,2015,2015-10-10,3801,2015-09-01,1604,439,CENTR,2,5,7,3801,0,0,0,,0,3A12D,"PINE ST","STOCKTON ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.40734990999999,37.791309910000003
6718606,2017,2018-02-16,3801,2017-12-07,0827,1764,INGLE,4,5,7,3801,0,0,0,,0,4B2E,"OCEAN AV","MIRAMAR AV",10.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",37.724229999999999,-122.45811999999999,"SAN FRANCISCO","SAN FRANCISCO",-122.45817666000001,37.72431271
